codigo,descripcion,unidad,precio_unitario
ARG,Arena a granel (1m3),m3,24300.0
AR,Bolson de Arena (1m3),m3,33470.0
PIEG,Piedra a granel (1m3),m3,48756.2
PIEP,Bolson de Piedra partida (1m3),m3,74566.0
PIE,Bolson de Piedra (1m3),m3,61700.0
CEM,"Bolsa Cemento ""Loma Negra"" 25 k (u)",u,7000.0
CEM-GROUT,Sika Grout 25k (u),u,31900.0
CAL,"Bolsa Cal ""Cacique"" 25 k (u)",u,5371.9
PLASTICOR,Bolsa Plasticor 40k (u),u,7024.79
CER,Ceresita 20 k (u),u,37190.08
LP18,Ladrillo Portante 18 (u),u,1377.0
LP12,Ladrillo Portante 12 (u),u,1110.2
LH18,Ladrillo Hueco 18 (u),u,837.0
LH12,Ladrillo Hueco 12 (u),u,726.0
LH8,Ladrillo Hueco 8 (u),u,568.7
LCOM,Ladrillo Comun,u,190.61
LCOMVIST,Ladrillo Comun Vista,u,198.35
LPINT,Pavimento Intertrabado,m2,37600.0
LGB,Garden Block 38x38x8cm (1m2),m2,22500.0
LDC,Deck Liston Hormigon Cemento Piso Durmiente 100 X 12 Cms (1m2),,41000.0
YES,Bolsa Yeso Tuyango 30 k (u),u,15000.0
YES-P,Bolsa Yeso Proyectado Tuyango 30 k (u),u,18000.0
ES,Cascote / Escombro (m3),m3,35000.0
TOS,Tosca Compactada,m3,30000.0
TN,BOLSON Tierra negra,m3,33275.0
TNF,BOLSON Tierra negra fertil 10% compost,m3,86600.0
TRA,BOLSON Tierra negra abonada 40% compost,m3,94400.0
TNFI,TIERRA NEGRA FINA,m3,60000.0
TNRL,TIERRA NEGRA DE RELLENO LIMPIO,m3,25000.0
TNR,TIERRA NEGRA DE RELLENO,m3,20000.0
CL2,"Clavos 2"" punta paris (k)",k,4500.0
CL2.5,"Clavos 2,5"" punta paris (k)",k,4500.0
AL-50k,Alambre Fardo (50 k),k,220000.0
ES24,Cascote / Escombro cada 24 m3 (m3),m3,13636.36
DISCO PORC,Disco Amoladora para porcelanato. marca aliafor,,22314.0
DISCO,Disco Ascerradora,u,120000.0
DIS,Disco corte,u,40000.0
VI7,Vigueta pretensada de hormigon 7m,u,34000.0
VI6,Vigueta pretensada de hormigon 6m,u,30111.0
VI-EPS,Ladrillos Telgopor 10cm,u,3844.0
P-pro,Protex 215 x 1kg,u,18000.0
z-sell,Adhesivo Zocalos Sellador Rellenador Atrim 420gr,u,13000.0
ME,MECHA ROTOPERCUTORA,u,5000.0
EPS,EPS aislante para techos 1x1 30mm 15 Kg Pack 5u,u,60000.0
"M3,5","Malla Φ 3,5 (2 m x 5 m) (hierros cada 0,18 x 0,18 m) - menos de 50 u (u)",u,19173.55
M5,"Malla Φ 5 (2 m x 5 m) (hierros cada 0,18 x 0,18 m) - menos de 50 u (u)",u,29917.36
"M3,5M","Malla Φ 3,5 (2 m x 5 m) (hierros cada 0,18 x 0,18 m) - mas de 50 u (u)",u,18677.69
M5M,"Malla Φ 5  (2 m x 5 m) (hierros cada 0,18 x 0,18 m) - mas de 50 u (u)",u,29586.78
"M5,5","Malla Φ 5,5  (2 m x 5 m) (hierros cada 0,18 x 0,18 m)",u,37608.0
M8,"Malla Φ 8  (2 m x 5 m) (hierros cada 0,15 x 0,15 m)",u,50000.0
HADN6,Hierros ADN 420 Φ 6,u,5250.0
HADN8,Hierros ADN 420 Φ 8,u,9050.0
HADN10,Hierros ADN 420Φ 10,u,11237.0
HADN12,Hierros ADN 420 Φ 12,u,20442.5
HADN16,Hierros ADN 420 Φ 16,u,36603.12
HADN20,Hierros ADN 420 Φ 20,U,55000.0
HADN25,Hierros ADN 420 Φ 25,u,68759.07
HADN6K,Hierros ADN 420 Φ 6 (k),k,1347.48
HADN8K,Hierros ADN 420 Φ 8 (k),k,1310.31
HADN10K,Hierros ADN 420Φ 10 (k),k,1310.31
HADN12K,Hierros ADN 420 Φ 12 (k),k,1301.01
HADN16K,Hierros ADN 420 Φ 16 (k),k,1263.84
HADN20K,Hierros ADN 420 Φ 20 (k),k,1263.84
HADN25K,Hierros ADN 420 Φ 25 (k),k,1263.84
HADN6K,Hierros ADN 420 Φ 6 (k),k,1455.0
HADN8K,Hierros ADN 420 Φ 8 (k),k,1374.0
HADN10K,Hierros ADN 420Φ 10 (k),k,1374.0
HADN12K,Hierros ADN 420 Φ 12 (k),k,1374.0
HADN16K,Hierros ADN 420 Φ 16 (k),k,1322.0
HADN20K,Hierros ADN 420 Φ 20 (k),k,1322.0
